"cod_barrio","barrio","zona","manzanas"
"2296","Parcelaciones Pance","Ciudad Jardin",101
"1780","El Ingenio","El Ingenio",80
"0212","La Flora","La Flora",60
"1783","Ciudad Capri","La Hacienda",58
"0211","Prados del Norte","La Flora",52
"1774","Caney","El Ingenio",50
"0210","Santa Monica","Santa Monica",49
"1775","Lili","El Ingenio",49
"2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",46
"1910","San Fernando Viejo","Oeste",40
"0295","Urbanizacion La Flora","La Flora",38
"1921","Nueva Tequendama","El Lido",35
"1784","La Hacienda","La Hacienda",32
"1789","El Gran Limonar - Cataya","La Hacienda",30
"0209","San Vicente","Santa Monica",29
"1904","Urbanizacion Tequendama","El Lido",29
"1983","Tejares - Cristales","Oeste",28
"1994","Pampalinda","El Lido",25
"1988","Canaveralejo - Seguros Patria","La Hacienda",24
"1778","Santa Anita - La Selva","La Hacienda",24
"0215","El Bosque","La Flora",23
"1781","Mayapan - Las Vegas","El Ingenio",22
"1790","El Gran Limonar","La Hacienda",21
"1903","El Lido","El Lido",20
"1909","Bellavista","Oeste",19
"0203","Arboledas","Oeste",18
"1796","Urbanizacion San Joaquin","El Ingenio",18
"0202","Santa Teresita","Oeste",17
"0208","Versalles","Santa Monica",16
"0302","El Penon","Oeste",16
"1922","Camino Real - Joaquin Borrero Sinisterra","El Lido",16
"1785","Los Portales - Nuevo Rey","La Hacienda",15
"1782","Las Quintas de Don Simon","La Hacienda",15
"1908","Santa Isabel","El Lido",15
"0205","Juanambu","Santa Monica",14
"2298","Ciudad Campestre","Ciudad Jardin",14
"1916","Los Cambulos","El Lido",13
"0206","Centenario","Santa Monica",12
"2297","Urbanizacion Rio Lili","Ciudad Jardin",12
"1906","San Fernando Nuevo","El Lido",11
"1794","Prados del Limonar","La Hacienda",11
"0201","Santa Rita","Oeste",11
"0297","Sector Altos de Normandia - Bataclan","Santa Monica",10
"1919","Cuarto de Legua - Guadalupe","El Lido",9
"0204","Normandia","Oeste",9
"1902","La Cascada","El Lido",9
"1995","Sector Canaveralejo Guadalupe","El Lido",9
"1923","Camino Real - Los Fundadores","El Lido",8
"0207","Granada","Santa Monica",8
"1791","Unicentro Cali","El Ingenio",7
"0298","Area en Desarrollo - Parque del Amor","La Flora",7
"0218","Chipichape","La Flora",6
"1992","Canaveral","El Lido",6
"1901","El Refugio","El Lido",5
"1981","Sector Altos de Santa Isabel","El Lido",4
"1793","Ciudadela Pasoancho","El Ingenio",4
"1788","Bosques del Limonar","La Hacienda",3
"1905","Eucaristico","El Lido",3
"2005","Belen","El Lido",3
"1984","Unidad Residencial Santiago de Cali","El Lido",3
"1985","Unidad Residencial El Coliseo","El Lido",3
"0216","Menga","La Flora",3
"0199","Aguacatal","Oeste",2
"0213","La Campina","La Flora",2
"1911","Miraflores","Oeste",2
"1918","Urbanizacion Militar","El Lido",2
"2299","Club Campestre","Ciudad Jardin",2
"1907","Urbanizacion Nueva Granada","El Lido",1
"0101","Terron Colorado","Oeste",1
"1982","Santa Barbara","Oeste",1
"0294","Vipasa","La Flora",1
"0214","La Paz","La Flora",1
